ID,User_Utterance,Gold_Response,Gold_Relational_Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation,Response_D,D_Relational_Alignment,D_Indirectness,D_Facesaving,D_Cultural_Appropriateness,D_Directness_Threat,D_Hierarchy_Violation
224,آپ یہ حصہ سنبھال لیں۔,ضرور، میں یہ کام سنبھال لیتا ہوں۔,,,,,,,میں آپ کے لیے اس حصے کا تفصیل بنائیںگے۔,,,,,,,یہ کیا کرنا ہے؟ اس کی وضاحت کرو۔,,,,,,,You can handle this part.,,,,,,,"""جی بالکل، میں سنبھال لوں گا۔""",,,,,,
225,ابھی باہر مت جاؤ۔,اچھا، نہیں جاتی، لیکن مجھے جانا ضروری تھا۔,,,,,,,Don't go outside right now.,,,,,,,"""کیوں؟ کیا کچھ خاص ہے؟""",,,,,,,ایک لمحے تک داخل رہیں۔,,,,,,,"""کیا کیا ہو رہا ہے؟ ابھی کب تک?""",,,,,,
226,یار، میں نے آج  تمہارا کام مکمل کر دیا۔,یار، تمہارا دل سے شکریہ، تم نے واقعی میرے لیے بہت وقت نکالا۔,,,,,,,"""واہ، بہت اچھا! شکریہ!""",,,,,,,"""تیری مدد کے لیے شکریہ، اب مجھے اپنا کام کرنے کی ضرورت ہے.""",,,,,,,بس تھانیوں میں منتظر ہوں تاکہ تم نے کام کیا کہا جاتا ہے۔,,,,,,,"""Friend, I have completed your work today.""",,,,,,
227,میں تمہارے لیے نوٹس لے آیا ہوں۔,بہت شکریہ یار، تم نے میری بڑی مدد کر دی۔,,,,,,,"""کیا یہ کافی ہے؟ میں نے اپنی طرف سے بھی ایک نوٹس لیا ہ�",,,,,,,I have brought you notes.,,,,,,,"""شکریہ! یہ بہت مددگار ہوگا۔""",,,,,,,بس کہاں چاہتے ہیں میں نوٹس دے سکتا ہوں۔,,,,,,
228,میں تمہارے ضروری کاغذات دفتر جا کر جمع کرا آیا ہوں۔,بہت شکریہ ابو، آپ نے میری بڑی مشکل آسان کر دی۔,,,,,,,"""شکریہ، یہ بہت مددگار ہے۔""",,,,,,,I have gathered your necessary documents and taken them to the office.,,,,,,,"""کسی کو بھی نہ دیکھنے دیجئے، وہاں سے آئیے اور اپنی",,,,,,,مجھے آپ کے ضروری کاغذات لے جانے کی معلومات پڑ Thi Thiaina。,,,,,,
229,بیٹا، میں کل رات تمہارے پاس ہی تھی تاکہ تمہیں کسی چیز کی ضرورت نہ ہو۔,امی، آپ کا بہت شکریہ، آپ نے میرا بہت خیال رکھا۔,,,,,,,"""پاپا، مجھے بتائیے کیا ہوا؟ میں نے تو کوئی بات نہیں پوچ",,,,,,,"""Son, I stayed with you last night so that you wouldn't need anything.""",,,,,,,میری بہن، تم نے مجھے لوٹ آنے کی قدرت دی۔,,,,,,,"""ماں، آپ کا شکریہ، آپ کی موجودگی مجھے بہت سکون دیتی ہے۔""",,,,,,
230,امید ہے اب تمہیں یہ موضوع اچھی طرح سمجھ آ گیا ہوگا۔,سر، آپ کا بہت شکریہ، آپ کی مدد سے مجھے یہ موضوع اچھی طرح سمجھ آ گیا۔,,,,,,,I hope you now understand this topic well.,,,,,,,"""جی بالکل، مجھے یہ موضوع اچھی طرح سمجھ آ گیا ہے۔""",,,,,,,جی، مجھے لگتا ہے کہ میں نے اس پر بہت سارے معلومات حاصل کی ہی,,,,,,,امید کرتا ہوں کہ اب تیرے ذہن میں اس موضوع کی مفہومت پڑ جائے گی,,,,,,
231,اگر تمہیں مزید کچھ پوچھنا ہو تو تم میرے دفتر آ سکتے ہو۔,سر، آپ کی رہنمائی اور تعاون کا بہت شکریہ۔,,,,,,,"If you need anything else, you can come to my office.",,,,,,,"""شکریہ، میں ضرور آؤں گا۔""",,,,,,,میں آپ کے لیے بہترین سامانہ بنایا ہے جس سے آپ کو ایسے معلومات مل,,,,,,,"""جی، میں ضرور آئیں گا، لیکن ابھی مجھے یہ جاننے کا موقع مل گیا �",,,,,,
232,مجھے خوشی ہے کہ میں وقت پر آپ کی مدد کر سکا۔,آپ کا بہت شکریہ، آپ کی بروقت مدد میرے بہت کام آئی۔,,,,,,,I am happy that I was able to help you on time.,,,,,,,میری بھی خوشی ہوگئی چونکہ میں نے آپ کیلئے کام کیا۔,,,,,,,"""آپ کی مدد کرنے کا شکر ہے، مجھے بھی یہ جانتے ہوئے",,,,,,,"""آپ کی مدد کے لئے شکریہ، یہ میرے لئے بہت اہم ہے۔""",,,,,,
233,یہ لو، میں نے تمہاری اسائنمنٹ کر دی تھی۔,یار، تمہارا بہت شکریہ، ورنہ مجھے اس کی بہت ٹینشن تھی۔,,,,,,,"""کیا یہ سچ ہے؟ میں نے کبھی اس پر دستخط تو نہیں کیے تھ",,,,,,,I have completed your assignment.,,,,,,,میری سوچکا تھا کہ آپ نے کام لیا گا۔,,,,,,,"""شکریہ! بہت مہربانی.""",,,,,,
234,آپ نے بہت محنت کی ہے، جو صاف نظر آ رہی ہے۔,شکریہ سر۔ یہ سب آپ کی رہنمائی کا نتیجہ ہے۔,,,,,,,شکریہ! آپ کی تعریف میرے لیے بہت معنی رکھتی ہے۔,,,,,,,مگر ابھی کچھ کام بھی باقی ہے، جس پر توجہ دینی چاہئیے۔,,,,,,,"You have put in a lot of effort, which is evident. (Urdu)",,,,,,,میری مہارت کا ایک حصہ تینیں محنت ہے۔,,,,,,
235,میں ہمیشہ تمہاری کامیابی اور بھلائی کے لیے دعا کرتا ہوں۔,اللہ آپ کو جزائے خیر دے، آپ کی دعائیں میرے لیے بہت قیمتی ہیں۔,,,,,,,I always pray for your success and well-being.,,,,,,,تمہاری سफalta اور نجات میں دعا کرتا ہوں۔,,,,,,,"""تمہاری دعاؤں کا شکریہ، یہ میرے لیے بہت معنی رکھتا ہے۔""",,,,,,,"""شکر ہے اللہ کا، میں بھی تمہارے لیے دعا کرنے والا ہ",,,,,,
236,یہ لو، میں تمہارے لیے چائے بھی لے آیا ہوں۔,واہ جناب، آج تو بڑے مہربان لگ رہے ہیں، شکریہ!,,,,,,,"""واہ، بہت شکریہ! تمہاری مہربانی ہے۔""",,,,,,,میری خواہش کہ تماشا جسٹ کریں۔,,,,,,,"I brought you some tea too, man. (Urdu)",,,,,,,"""کیا؟ کیا تم نے مجھے کچھ پکڑنا ہے؟""",,,,,,
237,آخرکار تمہارا کام کر ہی آیا ہوں۔,ٹھیک ہے یار، شکریہ، لیکن مجھے کافی انتظار کرنا پڑا۔,,,,,,,میرے کام میں بہت زیادہ وقت چھاہتا تھا۔,,,,,,,"""جی، میں نے اپنی ذمہ داری کا پورا اور بھرپور انداز سے ادا کیا ہ",,,,,,,"""Finally, your work has been done.""",,,,,,,"""یہ سن کر خوشی ہوئی! تمہاری مدد کا شکریہ!""",,,,,,
238,اس بار میں نے آپ کی غلطی کے باوجود معاملہ انتظامیہ تک نہیں جانے دیا۔,بہت شکریہ سر، میں آپ کے اعتماد اور تعاون کی قدر کرتا ہوں، آئندہ ایسی غلطی نہیں ہوگی۔,,,,,,,"""آپ کا شکریہ، میں اس بات کی قدر کرتا ہوں کہ آپ نے معاملہ سنبھال لیا۔""",,,,,,,"""کیوں، آپ کو یقین ہے کہ وہ مجھے معاملہ کرنے سے روکن�",,,,,,,میری سلامت کے لئے شکریہ، تم نے میری جانب سے کچھ نہیں گنا۔,,,,,,,I did not report the matter to administration despite your mistake this time.,,,,,,
239,میں نے آپ کا کام بھی مکمل کر دیا تھا۔,آپ کا بے حد شکریہ آپ نے واقعی میں میری بہت مدد کی۔,,,,,,,تیرا کام مجھ سے پورا ہوا تھا۔,,,,,,,"""بہت شکریہ! آپ کی محنت کی قدر کرتا ہوں۔""",,,,,,,I have also completed your work.,,,,,,,"""جی، میں نے دیکھا ہے، آپ نے اپنے فرائض کو پورا کیا ہے",,,,,,
240,میں نے گھر کے سارے کام سنبھال لیے تھے تاکہ تم آرام کر سکو۔,بہت شکریہ، تم نے میری بہت بڑی پریشانی کم کر دی۔,,,,,,,I have taken care of all household tasks so that you can rest.,,,,,,,"""آپ کو بہت شکر ہوگا کہ میں نے آپ کی مدد کی۔ اب مجھے بھی",,,,,,,"""یہ بہت مہربانی ہے تمہاری، میں اس کی قدر کرتا ہوں۔""",,,,,,,تیرے لئے میں نے تمام کام جانچلے کرتا رہا۔,,,,,,
241,یار، اگر ضرورت ہو تو میں تمہاری مدد کر دیتا ہوں۔,ارے نہیں یار، تم کیوں زحمت کرو گے، لیکن تمہاری پیشکش کا بہت شکریہ۔,,,,,,,"""بہت شکریہ، یہ واقعی مددگار ہوگا!""",,,,,,,"""Friend, if needed I will help you.""",,,,,,,"""کوئی ضرورت نہیں، میرے پاس بھی کچھ کام ہیں۔ آپ کو بھی اپن",,,,,,,میریلے آپ کیلئے کسی وقت مدد کر سکتا ہوں۔,,,,,,
242,چلو، میں تمہارا کچھ کام کم کر دیتا ہوں۔,نہیں یار، اتنی زحمت کی ضرورت نہیں، میں سنبھال لوں گا۔,,,,,,,"""بہت شکریہ، یہ واقعی مددگار ہوگا!""",,,,,,,"Let's go, I will do something for you.",,,,,,,بس کہ کیا آپ کے نی�ے کس کامے کو کچھ کم کرنا چاہتے ہیں؟,,,,,,,"""کیا یہ ضروری ہے؟ میں بہت مشغول ہوں۔""",,,,,,
243,سر، اگر آپ اجازت دیں تو میں آج اضافی وقت دے کر یہ کام مکمل کر دیتا ہوں۔,آپ کی مہربانی، لیکن آپ کو زیادہ دیر رکنے کی ضرورت نہیں، میں سنبھال لوں گا۔,,,,,,,"""جی بالکل، آپ اضافی وقت دے کر کام مکمل کر سکتے ہیں۔""",,,,,,,بس کہیں، میں نے آپ کا طلبہ بھیچا ہے۔ آپ کی کمپلیٹ کرنے,,,,,,,"""Sir, if you permit me, I can complete this task by giving you some more time today.""",,,,,,,"""کوئی مسئلہ نہیں، مجھے اپنی ترجیحات کے مطابق کام کرنے کی اجازت �",,,,,,
244,سر، اگر آپ اجازت دیں تو میں اس کام میں کچھ مدد کر دیتا ہوں۔,آپ کی پیشکش کا شکریہ، لیکن خود کو زیادہ زحمت نہ دیں۔,,,,,,,"""بہت شکریہ، آپ کی مدد کی ضرورت ہے۔""",,,,,,,"""جی، بے شک، مجھے یقین ہے کہ آپ کی مدد سے یہ کام آسانی سے",,,,,,,حتماً، میں نے اجازت دی ہے آپ کی مدد کرتے ہیں۔,,,,,,,"""Boss, if you permit me, I can help with this task.""",,,,,,
245,یار، اگر تم چاہو تو میری گاڑی استعمال کر سکتے ہو۔,ارے نہیں یار، تم کیوں زحمت کرو گے، میں خود انتظام کر لوں گا۔,,,,,,,"""شکریہ! یہ بہت مہربانی ہے تمہاری۔""",,,,,,,"""کیا یہ آپ کی گاڑی ہے؟ کیا مجھے اس میں جانے کی اجازت ہ�",,,,,,,میں آپ کے لئے بھی کام کرتا ہوں، اگر آپ نے کسی مدد کی ضرور,,,,,,,"""Friend, if you wish to do so, you can use my car.""",,,,,,
246,یار، میں نے کہا نا، یہ کام میں کر دوں گا۔,آپ کی مہربانی، لیکن واقعی اس کی ضرورت نہیں، میں خود سنبھال لوں گا۔,,,,,,,یار، میری تیزی سے پڑھ لیں گے۔,,,,,,,"""کیا تو ہو گیا؟ ابھی سے شروع کر دیں!""",,,,,,,"""Friend, I said, do this task for me.""",,,,,,,"""ٹھیک ہے، مجھے تم پر بھروسہ ہے۔""",,,,,,
247,اگر آپ کو کسی مدد کی ضرورت ہو تو میں حاضر ہوں۔,آپ کی بہت مہربانی، لیکن آپ کو تکلیف دینے کی ضرورت نہیں۔,,,,,,,"""آپ کا بھی یہی حال ہوگا، جب تک کہ ہم ایک دوسرے کی مدد",,,,,,,"""شکریہ! آپ کی مدد کی بہت قدر کروں گا۔""",,,,,,,میری خدمत اپنے لئے آسانی کرتی ہیں۔,,,,,,,I am here to help if you need anything.,,,,,,
248,سر، میں یہ کتابیں آپ کے دفتر رکھ آتا ہوں۔,بیٹا، بہت شکریہ، میں خود سنبھال لوں گا۔,,,,,,,"""Sir, I will leave these books in your office.""",,,,,,,"""ٹھیک ہے، شکریہ!""",,,,,,,بس قبول کروں، میں نے ان کتابیں پلے ہیں۔,,,,,,,"""آپ نے کیا کہا؟ کون سی کتابیں لائی ہیں؟""",,,,,,
249,میں نے کہا نا، یہ کام میں کر دوں گا، تم فکر نہ کرو۔,ابو، آپ کا بہت شکریہ، لیکن واقعی اس کی ضرورت نہیں، میں سنبھال لوں گا۔,,,,,,,"I said, I will do this task, you worry not.",,,,,,,"""ٹھیک ہے، میں تم پر بھروسہ کرتا ہوں۔""",,,,,,,"""یہ تو آسان ہے، مجھے صرف ایک چھوٹی سی مدد کی ضرورت تھی۔""",,,,,,,تیری تلاش سے آمد ہے، اس لئے وہ آئی چاہتی ہے۔,,,,,,
250,بیٹا، اگر تم تھک گئی ہو تو میں یہ کام کر دیتی ہوں۔,امی، آپ کی بہت مہربانی، لیکن میں خود کر لوں گی۔,,,,,,,"""نہیں امی، میں کر لوں گی۔ آپ آرام کریں۔""",,,,,,,"Son, if you are tired, I will do this work.",,,,,,,اب تے راحة رہیں، میں آپ کے لیے کام کر چلتی ہوں۔,,,,,,,"""نہیں ماں، مجھے کچھ کرنا پڑے گا، تم کو بھی اور مجھے ب",,,,,,
251,میں نے کہا نا، میں خود تمہاری فائل مکمل کروا دوں گا۔,سر، آپ کی مہربانی، لیکن براہِ کرم اس کی فکر نہ کریں، میں خود یہ کام مکمل کر لوں گا۔,,,,,,,"I said, ""I will complete your file myself.""",,,,,,,تیری فایل مکمل طور پر کروائی جانے کے لیے میں آپ کے لیے بہت سخت,,,,,,,"""شکریہ، یہ واقعی میری مدد کرے گا۔""",,,,,,,"""کیا یہ آپ کو یقین ہوگا؟ مجھے بہت اچھی طرح لگی ہے ک�",,,,,,
252,میں تمہارے ساتھ چلوں گا، اکیلے جانے کی ضرورت نہیں۔,آپ کی فکر کا بہت شکریہ، لیکن واقعی میں خود سنبھال لوں گا۔,,,,,,,"""تیری بھلائی کا خیال رکھوں گا، لیکن مجھے یہ یقین ہے کہ",,,,,,,"""شکریہ، تمہارا ساتھ ہونا بہت اچھا ہے۔""",,,,,,,"I will go with you, there is no need to go alone.",,,,,,,یہ آپ کا فیصلہ بہت مفید ہے۔ صدیقین کی تلاش کرتے رہنے کی ق,,,,,,
253,یہ کام تم چھوڑ دو، میں خود کر دیتی ہوں۔,امی جان، آپ کی مہربانی، لیکن میں یہ کام خود کر لوں گی۔,,,,,,,"""نہیں، میں یہ کام خود کر لوں گا۔""",,,,,,,I will do this task myself.,,,,,,,تم نے میرا درخواست پڑھا؟ میں اس کام کرتی ہوں۔,,,,,,,"""کیا یہ ضروری ہے؟ مجھے بھی اس کا حصہ لینے کی اجازت دیجئے",,,,,,
254,اگر آپ چاہیں تو میں یہ رپورٹ چیک کر دیتا ہوں۔,آپ کی مہربانی، لیکن میں پہلے خود ایک بار دیکھ لیتا ہوں۔,,,,,,,"""جی، براہ کرم چیک کر لیجیے۔""",,,,,,,"""کیا ضرورت ہے؟""",,,,,,,میری طرف سے بس بات چیک کرتے ہیں۔,,,,,,,I can check this report if you wish.,,,,,,
255,رات بہت ہو گئی ہے، میں تمہیں گھر چھوڑ آتا ہوں۔,چچا جان، آپ کی بہت مہربانی، لیکن آپ کو زحمت دینے کی ضرورت نہیں، میں خود چلا جاؤں گا۔,,,,,,,"""نہیں، میں خود چلی جاؤں گی، تمہیں زحمت کرنے کی ضرورت نہیں ہے۔""",,,,,,,"""کیا کر رہے تھے؟ اب کیا کرنا ہے؟""",,,,,,,"""The night has fallen, I am leaving you here.""
'''
# Generate a natural English response
generate_response(""The night has fallen, I am leaving you here."")
# Expected output:
# ""Good",,,,,,,میری تیاری کوٹلی ہو جانے سے پہلے کر دیا جائے گا۔,,,,,,
